City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Foam Lake,CA,51.65,-103.5343,49.28,39,6,13.06,clear sky
80,Alofi,NU,-19.0595,-169.9187,77.5,71,3,11.65,clear sky
81,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,40,18.41,scattered clouds
82,Mwinilunga,ZM,-11.7358,24.4293,74.43,45,99,4.61,overcast clouds
83,Fort-Shevchenko,KZ,44.5086,50.263,62.42,41,7,10.27,clear sky
84,Mahebourg,MU,-20.4081,57.7,75.25,73,40,18.41,scattered clouds
85,Dingle,PH,10.9995,122.6711,75.81,93,92,3.91,overcast clouds
86,Nelson Bay,AU,-32.7167,152.15,57.0,85,0,12.33,clear sky
87,Narsaq,GL,60.9167,-46.05,48.42,50,0,0.54,clear sky
88,Tamasane,BW,-22.4184,27.4013,87.78,10,4,7.63,clear sky
89,Fortuna,US,40.5982,-124.1573,55.98,80,1,0.0,clear sky
90,Christchurch,NZ,-43.5333,172.6333,55.6,57,100,3.0,overcast clouds
91,Shangzhi,CN,45.2167,127.9667,25.72,41,6,10.67,clear sky
92,Mar Del Plata,AR,-38.0023,-57.5575,68.02,34,20,18.41,few clouds
93,Mandera,KE,3.9366,41.867,90.68,36,68,8.52,broken clouds
94,Upernavik,GL,72.7868,-56.1549,21.27,51,40,7.05,scattered clouds
95,Kruisfontein,ZA,-34.0033,24.7314,53.89,67,47,23.29,light rain
96,Jinxiang,CN,27.4327,120.6062,63.5,72,100,19.51,overcast clouds
97,Rikitea,PF,-23.1203,-134.9692,74.77,78,12,9.13,few clouds
98,Korhogo,CI,9.45,-5.6333,82.89,60,52,2.64,light rain
99,Acapulco,MX,16.8634,-99.8901,85.82,79,90,2.3,overcast clouds
100,Kudahuvadhoo,MV,2.6708,72.8944,82.74,77,99,24.32,overcast clouds
101,Pacasmayo,PE,-7.4006,-79.5714,70.12,72,64,14.41,broken clouds
102,Beringovskiy,RU,63.05,179.3167,32.95,72,100,30.53,overcast clouds
103,Sampit,ID,-2.5333,112.95,77.43,92,100,2.3,overcast clouds
104,Shitanjing,CN,39.2342,106.3439,40.77,38,0,9.08,clear sky
105,Guerrero Negro,MX,27.9769,-114.0611,78.31,29,0,0.2,clear sky
106,Leningradskiy,RU,69.3833,178.4167,10.11,97,90,4.63,overcast clouds
107,Salalah,OM,17.0151,54.0924,78.89,89,0,3.44,clear sky
108,Oriximina,BR,-1.7656,-55.8661,99.43,31,75,9.37,broken clouds
109,Mao,ES,39.8885,4.2658,66.76,77,20,5.75,few clouds
110,Saldanha,ZA,-33.0117,17.9442,57.45,69,17,14.16,few clouds
111,Biryusinsk,RU,55.9634,97.8235,29.97,70,63,3.49,broken clouds
112,Ribeira Grande,PT,38.5167,-28.7,72.0,94,75,21.85,broken clouds
113,Cape Town,ZA,-33.9258,18.4232,60.28,50,47,3.0,scattered clouds
114,Asau,RO,46.4333,26.4,51.76,68,100,2.77,overcast clouds
115,Kapaa,US,22.0752,-159.319,73.72,78,75,16.11,light rain
116,Bahia Blanca,AR,-38.7196,-62.2724,75.11,17,0,16.71,clear sky
117,Bengkulu,ID,-3.8004,102.2655,77.59,86,100,3.13,overcast clouds
118,Lerwick,GB,60.1545,-1.1494,46.4,76,100,7.02,overcast clouds
119,Binabalian,PH,16.4202,119.9279,82.22,78,61,10.16,moderate rain
120,Waipawa,NZ,-41.4122,175.5153,53.02,64,89,7.83,overcast clouds
121,Pisco,PE,-13.7,-76.2167,71.65,60,0,14.97,clear sky
122,Coahuayana,MX,18.7333,-103.6833,81.88,61,35,2.55,scattered clouds
123,Kansanshi,ZM,-12.0951,26.4273,75.87,37,53,4.72,broken clouds
124,San Vicente,AR,-26.6167,-54.1333,67.95,66,97,4.72,overcast clouds
125,Lagoa,PT,39.05,-27.9833,69.6,90,100,28.25,overcast clouds
126,Tura,IN,25.5198,90.2201,76.82,90,100,2.1,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,59.4,67,8,33.89,clear sky
128,Nishihara,JP,26.1842,127.7558,78.08,73,20,11.5,few clouds
129,Nikolskoye,RU,59.7035,30.7861,45.88,70,56,13.6,broken clouds
130,Taksimo,RU,56.3444,114.8794,20.91,71,100,2.19,overcast clouds
131,Karoi,ZW,-16.8099,29.6925,81.88,23,62,3.6,broken clouds
132,Brigantine,US,39.4101,-74.3646,82.33,78,1,13.8,clear sky
133,Doha,QA,25.2867,51.5333,87.78,60,0,1.14,clear sky
134,Zyryanka,RU,65.75,150.85,12.15,93,97,8.88,overcast clouds
135,Katsuura,JP,35.1333,140.3,75.18,87,24,23.38,few clouds
136,Rauma,FI,61.1272,21.5113,46.44,67,70,20.13,broken clouds
137,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,clear sky
138,Kloulklubed,PW,7.0419,134.2556,77.5,73,100,4.79,overcast clouds
