City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Nemuro,JP,53.65,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
326,Zuya,UA,56.75,overcast clouds,45.0531,34.3154,
327,Ferrol,ES,63.59,light rain,43.4832,-8.2369,Parador de Ferrol
346,Baglung,NP,67.14,clear sky,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
349,Carmarthen,GB,58.68,broken clouds,51.8555,-4.3054,Ivy Bush Royal Hotel by Compass Hospitality
352,Piranshahr,IR,63.45,broken clouds,36.701,45.1413,مسافر خانه سعدی
354,Dolores,AR,64.69,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
359,Xilagani,GR,61.99,broken clouds,40.9833,25.4167,
360,Avallon,FR,56.46,clear sky,47.4833,3.9,Hotel d'Avallon Vauban
369,Bloemfontein,ZA,58.41,overcast clouds,-29.1211,26.214,aha Bloemfontein Hotel
373,Republic,US,62.62,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
374,Constitucion,CL,59.77,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
375,Huilong,CN,62.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
376,Namibe,AO,66.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
380,Yabelo,ET,65.53,light rain,4.8833,38.0833,Asnakech W/michael
384,Esperance,AU,58.33,broken clouds,-33.8667,121.9,Hospitality Esperance
385,Yeppoon,AU,60.58,clear sky,-23.1333,150.7333,Villa Mar Colina
386,Airai,TL,63.03,scattered clouds,-8.9266,125.4092,Juvinal Martin
389,Khani,GE,53.17,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
390,Aligudarz,IR,60.73,scattered clouds,33.4006,49.6949,کوچه شهید محمد جواد رشیدی
396,Rawson,AR,63.1,few clouds,-43.3002,-65.1023,Hosteria Sampedro
400,Kimberley,ZA,59.83,scattered clouds,-28.7323,24.7623,Welgewandel Guesthouse
402,Lunglei,IN,66.31,overcast clouds,22.8833,92.7333,Hotel Elite
403,Ventimiglia,IT,66.02,few clouds,43.7935,7.6026,Kaly
404,Goderich,CA,57.9,overcast clouds,43.7501,-81.7165,Harmony Inn
419,Ngunguru,NZ,60.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
424,Kurdzhinovo,RU,54.46,few clouds,43.9884,40.9552,Camping Bolshaya Laba
428,Jumla,NP,54.68,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
434,San Jeronimo,PE,61.68,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
439,Atherton,GB,59.29,overcast clouds,53.5237,-2.4935,The Lion Inn
441,Taltal,CL,62.56,clear sky,-25.4,-70.4833,Residencial Karime
442,Shelburne,CA,53.56,light rain,44.0787,-80.2041,The Retreat at the Farm
453,Guilin,CN,58.01,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
454,La Rioja,ES,62.04,overcast clouds,42.25,-2.5,Casa Concejos
458,Ascope,PE,61.93,overcast clouds,-7.7144,-79.1078,agroindustrial casagrande
466,Bereda,ES,61.41,light rain,43.2686,-7.5406,Pazo de Verdes
468,Sainte-Anne-Des-Monts,CA,54.34,overcast clouds,49.124,-66.4924,Motel et restaurant Manoir sur Mer Enr.
470,Hami,CN,54.82,clear sky,42.8,93.45,Laoyutang Resort
471,Bunbury,AU,58.82,broken clouds,-33.3333,115.6333,Bunbury Hotel Koombana Bay
